RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,F6INONE,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID,ObjectId
C0-048868,2020/06/02 00:00:00+00,15,,,0,,D,,,,,,,X,,,,,,N,,N,,,113
C0-048548,2020/05/31 00:00:00+00,2245,W,M,41,E,G,,,,X,,,,,X,,,,Y,Y,N,N,,114
C0-048548,2020/06/01 00:00:00+00,0,W,M,0,E,G,,,,,,,,,,,,,N,,,,,115
C0-048548,2020/05/31 00:00:00+00,2300,W,M,0,E,G,,,,,,,,,,,,,N,N,N,N,,116
C0-048548,2020/05/31 00:00:00+00,2000,,,0,E,G,,,,,,,,,,,,,Y,N,N,N,,117
C0-048548,2020/05/31 00:00:00+00,2045,B,M,28,D,C,,,,X,,,,,,,,,N,,,,,118
C0-048548,2020/05/31 00:00:00+00,2045,,,0,E,G,,,,,,,,,,,,,Y,Y,Y,N,,119
C0-048548,2020/05/31 00:00:00+00,2145,,,0,E,D,,,,,,,X,,,,,,N,,N,N,,120
C0-048548,2020/05/31 00:00:00+00,2330,B,M,0,E,G,,,,,,,,,,,,,N,,N,N,,121
C0-091284,2020/09/30 00:00:00+00,1936,W,F,14,F,G,,,,,,,,,X,,X,,N,,Y,Y,,122
C0-048548,2020/05/31 00:00:00+00,2045,B,M,28,E,G,,,,,,,,,,,,,N,,N,N,,123
C0-048548,2020/05/31 00:00:00+00,2030,,,0,E,G,,,,,,,,,,,,,Y,N,N,N,,124
C0-048548,2020/05/31 00:00:00+00,2145,,M,0,E,G,,,,,,,,,,,,,N,,Y,N,,125
C0-048548,2020/05/31 00:00:00+00,2045,,,0,F,D,,,,,,,X,,,,,,,,,,,126
C0-048548,2020/05/31 00:00:00+00,2000,U,,0,F,G,,,,X,,,X,,,,,,Y,N,,,,127
C0-048548,2020/05/31 00:00:00+00,2330,B,M,0,E,G,,,,,,,,,,,,,N,,N,N,,128
C0-048235,2020/05/31 00:00:00+00,100,,,0,E,D,,,,,,,X,,,,,,N,,N,N,,129
C0-048235,2020/05/31 00:00:00+00,430,W,M,0,C,D,,,,,,,X,,,,,,N,,,,,130
C0-048235,2020/05/30 00:00:00+00,2359,,,0,E,G,,,,,,,X,,,,,,N,,N,N,,131
C0-048235,2020/05/30 00:00:00+00,2200,,,0,E,G,,,,,,,,,,,,,Y,Y,Y,N,,132
C0-048235,2020/05/30 00:00:00+00,445,,,0,E,D,,,,,,,X,,,,,,N,,N,N,,133
C0-048235,2020/05/30 00:00:00+00,2300,U,M,0,E,G,,,,,,,,,,,,,N,,,N,,134
C0-048235,2020/05/30 00:00:00+00,2030,,,0,E,G,,,,,,,X,,,,,,Y,N,Y,N,,135
C0-048235,2020/05/30 00:00:00+00,2330,,,0,E,D,,,,,,,X,,,,,,Y,,,,,136
C0-048235,2020/05/31 00:00:00+00,305,W,M,0,B,D,,,,,,,X,,,,,,N,N,N,N,,137
C0-048235,2020/05/30 00:00:00+00,2359,,,0,E,G,,,,,,,,,,,,,N,,Y,N,,138
C0-048235,2020/05/30 00:00:00+00,1945,U,,0,F,G,,,,,,,X,,,,,,,,,,,139
C0-048235,2020/05/31 00:00:00+00,224,,,0,E,G,,,,,,,,,,,,,N,,N,N,,140
C0-048235,2020/05/31 00:00:00+00,1,,M,0,E,G,,,,,,,,,,,,,Y,N,N,N,,141
C0-047924,2020/05/30 00:00:00+00,518,W,M,0,E,G,,,,,,,,,,,X,,N,,,N,,142
C0-047908,2020/05/30 00:00:00+00,400,B,M,0,B,D,,,,,,,X,,,,,,N,,N,N,,143
C0-047908,2020/05/30 00:00:00+00,400,W,M,0,B,D,,,,,,,X,,,,,,N,,N,N,,144
C0-047908,2020/05/30 00:00:00+00,400,,,0,E,D,,,,,,,X,,,,,,N,,N,N,,145
C0-047908,2020/05/30 00:00:00+00,245,B,M,0,E,D,,,,,,,X,,,,,,N,,N,,,146
C0-047908,2020/05/30 00:00:00+00,230,,,0,F,D,,,,,,,X,,,,,,,,,,,147
C0-047908,2020/05/30 00:00:00+00,240,,,0,E,D,,,,,,,X,,,,,,N,,N,,,148
C0-047908,2020/05/30 00:00:00+00,400,,,0,E,G,,,,,,,X,,,,,,,,,,,149
C0-047908,2020/05/30 00:00:00+00,230,,,0,F,D,,,,,,,X,,,,,,Y,,,,,150
C0-047908,2020/05/30 00:00:00+00,400,,,0,E,G,,,,,,,X,,,,,,Y,Y,N,N,,151
C1-093554,2021/10/04 00:00:00+00,2140,W,M,37,E,D,,,,X,,,,,,,,,N,,Y,Y,,152
C0-047908,2020/05/30 00:00:00+00,225,,,0,E,G,,,,,,,X,,,,,,Y,N,N,N,,153
C1-092899,2021/10/02 00:00:00+00,25,W,M,35,D,G,,,,,,X,,,,,X,,N,,Y,Y,,154
C1-091617,2021/09/28 00:00:00+00,2046,B,M,28,D,G,,,,X,,,,,X,,X,,Y,Y,Y,Y,,155
C1-090602,2021/09/25 00:00:00+00,2348,B,M,27,D,G,,,,,,,,,X,,X,,N,,N,Y,,156
C1-088868,2021/09/21 00:00:00+00,351,B,M,61,F,C,,,,,,,,,X,,,,Y,Y,N,Y,,157
C1-088318,2021/09/19 00:00:00+00,1316,H,M,53,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,,158
C1-088064,2021/09/18 00:00:00+00,1900,W,F,36,E,C,,,,X,,,,,X,,,,N,,Y,Y,,159
C1-085719,2021/09/12 00:00:00+00,112,A,M,21,D,C,,,,X,,,,,X,,,,Y,N,N,N,,160
C1-085604,2021/09/11 00:00:00+00,2040,A,M,34,D,C,,,,X,,,,,,,,,N,,Y,N,,161
C1-085604,2021/09/11 00:00:00+00,2040,A,M,34,D,C,,,,X,,,,,X,,,,N,,Y,N,,162
C1-082083,2021/09/01 00:00:00+00,241,,,0,,Z,,,,,,,,X,,,,,N,,,,,163
C1-080721,2021/08/29 00:00:00+00,45,B,F,16,E,C,,,,X,,,,,X,,,,Y,N,N,Y,,164
C1-080721,2021/08/29 00:00:00+00,45,B,F,16,E,C,,,,X,,,,,X,,,,Y,N,N,Y,,165
C1-080721,2021/08/29 00:00:00+00,45,B,F,16,E,C,,,,X,,,,,X,,,,Y,N,N,Y,,166
C1-080395,2021/08/28 00:00:00+00,106,B,M,48,E,C,,,,X,,,,,X,,,,Y,,Y,Y,,167
C1-080383,2021/08/28 00:00:00+00,3,B,M,27,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,,168
C1-080383,2021/08/28 00:00:00+00,3,B,M,27,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,,169
C1-078931,2021/08/24 00:00:00+00,53,W,F,56,F,G,,,,,,,,,X,,X,,N,,N,Y,,170
C1-078477,2021/08/22 00:00:00+00,1807,W,M,56,D,C,,,,X,,,,,,,,,Y,N,Y,Y,,171
C1-078477,2021/08/22 00:00:00+00,1807,W,M,56,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,172
C1-078115,2021/08/21 00:00:00+00,1857,W,M,11,D,C,,,,X,,,,,X,,,,N,,Y,N,,173
