Event,District,Nature,How Received,Date,Physical Contact,Less Lethal,Launch Projectile,Drew Less Lethal,Draw Weapon,Taser Pointed,Taser Fired,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B16-16495,3,Burglary,911 Line,05/01/2016 03:50:00 AM,false,false,false,false,true,,,false,false,false,Normal,false,false,Juvenile Referral,false,false,,true,16,,true,,,,,,
B16-16522,2,Burglary,911 Line,05/01/2016 01:30:00 PM,true,false,false,false,true,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,28,true,,,,,,,
B16-17062,2,Domestic,Telephone,05/05/2016 03:27:00 AM,true,false,false,false,false,,,false,false,false,Mentally Disturbed,true,false,Contact,false,false,true,,27,true,,,,,,,
B16-17064,5,Suspicious Activity,Telephone,05/05/2016 04:30:00 AM,true,false,false,false,false,,,false,false,true,Intoxicated,true,false,Arrestee,false,true,,true,48,true,,,,,,,
B16-17119,4,Disturbance,911 Line,05/05/2016 01:00:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,true,false,Arrestee,false,false,,true,46,true,,,,,,,
B16-17295,4,Fight,911 Line,05/06/2016 02:40:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,true,,true,27,true,,,,,,,
B16-17541,1,Welfare Check,Telephone,05/08/2016 06:35:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Victim,false,false,,true,20,true,,,,,,,
B16-17555,3,Welfare Check,911 Line,05/08/2016 12:40:00 PM,false,false,false,false,true,,,false,false,false,Normal,false,false,Victim,false,false,true,,21,true,,,,,,,
B16-17719,4,Suspicious Activity,Officer Report,05/09/2016 09:16:00 PM,true,false,false,false,false,,,false,false,true,Intoxicated,false,false,Arrestee,false,false,,true,23,true,,,,,,,
B16-17868,2,Burglary,Telephone,05/10/2016 11:40:00 PM,false,false,false,false,true,,,false,false,true,Normal,false,false,Arrestee,true,false,,true,45,,,true,,,,,
B16-18052,5,Disturbance,911 Line,05/12/2016 09:27:00 AM,true,false,false,false,false,,,false,false,true,Mentally Disturbed,false,true,Arrestee,false,false,,true,31,,,true,,,,,
B16-18270,4,Burglary,Telephone,05/13/2016 07:00:00 PM,false,false,false,false,true,,,false,false,false,Mentally Disturbed,false,false,Mentioned,false,false,,true,48,true,,,,,,,
B16-18389,3,Warrant Service,Telephone,05/14/2016 03:48:00 PM,false,false,true,false,true,,,false,false,false,Mentally Disturbed,true,true,Arrestee,false,false,,true,43,true,,,,,,,
B16-18389,3,Warrant Service,Telephone,05/14/2016 03:48:00 PM,false,false,false,false,true,,,false,false,false,Normal,false,false,Involved,false,false,true,,33,true,,,,,,,
B16-19084,2,Suspicious Activity,Telephone,05/19/2016 09:24:00 PM,true,true,false,false,false,,,false,false,false,Intoxicated,false,true,Suspect,true,true,,true,22,true,,,,,,,
B16-20025,4,Mental Health,911 Line,05/26/2016 01:20:00 PM,true,false,true,false,false,,,false,false,false,Mentally Disturbed,false,true,Mentioned,false,false,true,,20,true,,,,,,,
B16-20292,1,Fight,911 Line,05/28/2016 02:42:00 AM,true,false,true,false,false,,,false,false,false,Intoxicated,false,true,Arrestee,false,false,true,,22,,,true,,,,,
B16-20605,5,Disturbance,Telephone,05/31/2016 11:50:00 PM,true,false,true,false,false,,,false,false,false,Mentally Disturbed/Intoxicated,false,false,Arrestee,false,false,,true,18,true,,,,,,,
B16-20610,5,Follow Up,Telephone,05/31/2016 12:31:00 AM,false,false,true,false,true,,,false,false,false,Normal,false,false,Arrestee,false,false,,true,22,,,true,,,,,
B16-20833,5,Warrant Service,Telephone,06/01/2016 03:27:00 PM,true,false,true,false,false,,,false,false,false,Intoxicated/Mentally Disturbed,false,false,Arrestee,false,false,true,,30,true,,,,,,,
B16-21102,5,Burglary,Telephone,06/03/2016 11:00:00 AM,false,false,true,false,true,,,false,false,false,Normal,false,false,Arrestee,false,false,,true,31,true,,,,,,,
B16-21225,5,Disturbance,911 Line,06/04/2016 01:34:00 AM,false,false,true,false,false,,,false,false,false,Normal,false,false,Involved,false,false,,true,18,,,true,,,,,
B16-21225,5,Disturbance,911 Line,06/04/2016 01:34:00 AM,true,false,true,false,false,,,false,false,false,Normal,false,true,Arrestee,false,false,,true,22,,,true,,,,,
B16-21294,1,Disturbance,Telephone,06/04/2016 04:42:00 PM,true,false,true,false,false,,,false,false,false,Mentally Disturbed,false,false,Arrestee,false,false,true,,46,true,,,,,,,
B16-21295,1,Fight,Telephone,06/04/2016 04:53:00 PM,true,false,true,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,59,true,,,,,,,
B16-21435,2,Domestic,Telephone,06/05/2016 07:12:00 PM,false,false,true,false,true,,,false,false,false,Normal,false,false,Suspect,false,false,true,,23,true,,,,,,,
B16-21435,2,Domestic,Telephone,06/05/2016 07:12:00 PM,false,false,true,false,true,,,false,false,false,Normal,false,false,Victim,false,false,,true,26,true,,,,,,,
B16-21871,2,CIRT,Telephone,06/08/2016 09:21:00 PM,false,false,true,false,true,,,false,false,false,Normal,true,false,Unknown,false,false,,true,49,,,true,,,,,
B16-22068,4,Accident LSA,Telephone,06/10/2016 06:00:00 AM,true,false,true,false,false,,,false,false,false,Mentally Disturbed,false,false,Involved,false,false,true,,26,true,,,,,,,
B16-22300,3,Domestic,Telephone,06/11/2016 09:25:00 PM,true,false,true,false,false,,,false,false,false,Unknown,false,false,Arrestee,false,false,,true,21,true,,,,,,,
B16-22356,1,Fight,Telephone,06/12/2016 05:32:00 AM,true,false,true,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,26,,,true,,,,,
